nickname,series_count,game_count,total_kills,avg_kills,max_kills,min_kills,total_deaths,avg_deaths,max_deaths,min_deaths,kills_per_game,deaths_per_game
-Nami,28,67,962,34.357142857142854,50,7,1046,37.35714285714285,53,16,14.35820895522388,15.611940298507465
mtsGOD,3,3,30,10.0,11,9,49,16.333333333333332,20,14,10.0,16.333333333333332
★ ⑳ JonY BoY,7,18,286,40.85714285714285,63,25,275,39.285714285714285,61,26,15.88888888888889,15.27777777777778
betinho,1,3,6,6.0,6,6,15,15.0,15,15,2.0,5.0
agoz,2,4,73,36.5,51,22,62,31.0,37,25,18.25,15.5
bq,7,15,228,32.57142857142857,66,14,277,39.57142857142857,57,29,15.2,18.466666666666665
Ex3rcice,14,37,550,39.285714285714285,61,21,549,39.21428571428572,53,21,14.864864864864863,14.83783783783784
PeTeRoOo,4,8,103,25.75,35,18,143,35.75,42,31,12.875,17.875
easy,26,63,912,35.07692307692308,62,14,817,31.423076923076923,54,12,14.476190476190476,12.968253968253968
noeN,144,345,5259,36.520833333333336,75,10,5392,37.44444444444444,71,12,15.243478260869566,15.628985507246377
tonysalva,3,7,122,40.66666666666666,44,37,99,33.0,49,17,17.428571428571427,14.142857142857142
JBOEN,33,79,1207,36.57575757575758,65,13,1178,35.696969696969695,63,23,15.278481012658228,14.91139240506329
Chr1zN,8,21,300,37.5,49,28,344,43.0,52,26,14.285714285714286,16.38095238095238
sense,18,42,575,31.944444444444443,58,16,650,36.11111111111112,58,22,13.69047619047619,15.476190476190476
dok,9,20,311,34.55555555555556,54,24,313,34.77777777777778,57,19,15.55,15.65
revoltz,15,33,422,28.133333333333333,44,13,469,31.266666666666666,49,16,12.787878787878787,14.212121212121213
Keoz,18,43,584,32.44444444444444,54,16,675,37.5,51,17,13.581395348837209,15.69767441860465
mantuu,15,34,534,35.6,51,17,465,31.0,52,15,15.705882352941176,13.676470588235292
naitte,11,27,429,39.0,55,15,430,39.09090909090909,65,10,15.88888888888889,15.925925925925926
Dabbehhh,4,8,127,31.75,47,14,119,29.75,48,14,15.875,14.875
lezy,12,28,400,33.333333333333336,55,16,432,36.0,51,24,14.285714285714286,15.428571428571429
lcm,7,16,217,31.0,47,21,197,28.142857142857142,44,22,13.5625,12.3125
beg0d,7,18,283,40.42857142857143,66,17,257,36.71428571428572,47,27,15.72222222222222,14.27777777777778
cHeuuuuk',19,48,613,32.26315789473684,53,11,734,38.63157894736842,52,26,12.770833333333334,15.291666666666666
Tapewaare,48,118,1596,33.25,60,14,1729,36.020833333333336,63,18,13.52542372881356,14.652542372881356
bodyaooo,152,370,6657,43.79605263157895,75,9,5964,39.23684210526316,70,13,17.991891891891893,16.11891891891892
olimp,5,13,185,37.0,47,26,204,40.8,59,25,14.23076923076923,15.692307692307692
matios,11,27,333,30.27272727272728,50,9,393,35.72727272727273,55,11,12.333333333333334,14.555555555555555
vhs,2,6,68,34.0,34,34,94,47.0,53,41,11.333333333333334,15.666666666666666
kfed,1,2,18,18.0,18,18,15,15.0,15,15,9.0,7.5
✓ ★ ⑳ Lukita_fps,8,19,202,25.25,41,16,274,34.25,49,20,10.63157894736842,14.421052631578949
fiR3,115,276,3447,29.973913043478262,72,8,4226,36.74782608695652,65,16,12.48913043478261,15.31159420289855
SpavaQu,34,86,1230,36.1764705882353,58,18,1207,35.5,48,25,14.30232558139535,14.034883720930232
spargo,13,32,463,35.61538461538461,63,16,437,33.61538461538461,49,17,14.46875,13.65625
Maarkoos,28,66,959,34.25,50,19,925,33.035714285714285,47,9,14.530303030303031,14.015151515151516
Lich,8,20,287,35.875,53,20,305,38.125,54,26,14.35,15.25
desh,11,24,415,37.72727272727273,62,13,311,28.27272727272728,51,9,17.291666666666668,12.958333333333334
allee**,2,3,63,31.5,34,29,58,29.0,39,19,21.0,19.33333333333333
smooya,18,43,723,40.16666666666666,66,20,600,33.333333333333336,44,14,16.813953488372093,13.953488372093023
fr3nd,33,77,1129,34.21212121212121,60,20,1049,31.78787878787879,63,17,14.662337662337665,13.623376623376624
doc,14,31,541,38.642857142857146,69,7,489,34.92857142857143,59,10,17.451612903225808,15.774193548387096
T0PAZ-,2,5,54,27.0,28,26,64,32.0,32,32,10.8,12.8
Markz,11,26,362,32.90909090909091,51,17,365,33.18181818181818,46,19,13.923076923076923,14.038461538461538
shalfey111,11,24,359,32.63636363636363,46,18,313,28.454545454545453,51,17,14.958333333333334,13.041666666666666
Equip,34,81,1085,31.91176470588235,63,13,1341,39.44117647058823,66,26,13.395061728395062,16.555555555555557
Jackinho,7,15,273,39.0,67,29,269,38.42857142857143,67,28,18.2,17.933333333333334
marat2k 風速,37,89,1274,34.432432432432435,61,14,1276,34.486486486486484,68,13,14.314606741573034,14.337078651685394
M1key,18,44,682,37.888888888888886,73,22,659,36.61111111111112,55,18,15.5,14.977272727272728
juanflatroo,18,43,698,38.77777777777778,64,17,728,40.44444444444444,54,22,16.232558139534884,16.930232558139537
2high,22,53,750,34.09090909090909,53,18,784,35.63636363636363,47,18,14.150943396226417,14.79245283018868
nicks,10,20,252,25.2,40,5,249,24.9,45,8,12.6,12.45
diozera,8,19,321,40.125,63,25,283,35.375,55,17,16.894736842105264,14.894736842105264
brnr,3,7,101,33.666666666666664,52,24,113,37.66666666666666,42,33,14.428571428571429,16.142857142857142
Zolo^,5,11,142,28.4,37,12,154,30.8,42,20,12.909090909090908,14.0
n1Xen,49,121,1850,37.755102040816325,78,12,1863,38.02040816326531,65,16,15.289256198347108,15.396694214876034
neozix,12,28,370,30.83333333333333,44,18,430,35.833333333333336,53,26,13.214285714285714,15.357142857142858
reg1no.O,2,3,15,7.5,15,0,24,12.0,22,2,5.0,8.0
kyxsan,4,11,142,35.5,51,22,157,39.25,55,20,12.909090909090908,14.272727272727272
KAISERzy,7,14,222,31.714285714285715,62,7,204,29.142857142857142,47,13,15.857142857142858,14.571428571428571
j0w_.,15,33,481,32.06666666666667,64,22,476,31.73333333333333,49,14,14.575757575757576,14.424242424242424
Maluk3,6,14,172,28.666666666666668,43,9,200,33.333333333333336,51,19,12.285714285714286,14.285714285714286
Tatu,11,26,405,36.81818181818182,55,22,407,37.0,49,20,15.576923076923077,15.653846153846152
s1zen,17,39,581,34.1764705882353,50,17,603,35.47058823529412,55,24,14.897435897435898,15.461538461538462
roy,4,11,167,41.75,55,13,176,44.0,51,32,15.181818181818182,16.0
sugaR,30,78,1303,43.43333333333333,61,22,1126,37.53333333333333,53,18,16.705128205128204,14.435897435897436
spooke,14,36,626,44.71428571428572,68,27,607,43.35714285714285,58,24,17.38888888888889,16.86111111111111
ivz,4,11,183,45.75,58,35,169,42.25,48,31,16.636363636363637,15.363636363636363
lealziNho,7,17,217,31.0,39,22,233,33.285714285714285,47,10,12.764705882352942,13.705882352941176
leleo,8,19,223,27.875,44,14,287,35.875,52,15,11.736842105263158,15.105263157894736
⑳ JLK,9,21,238,26.444444444444443,39,18,305,33.888888888888886,54,23,11.333333333333334,14.523809523809524
raalz,15,34,463,30.866666666666667,49,15,520,34.666666666666664,51,16,13.617647058823527,15.294117647058824
woozzzi,5,11,160,32.0,39,26,159,31.8,38,29,14.545454545454543,14.454545454545457
leaf,11,27,356,32.36363636363637,53,15,414,37.63636363636363,52,17,13.185185185185183,15.333333333333334
s1cko,1,2,27,27.0,27,27,22,22.0,22,22,13.5,11.0
mello,7,18,294,42.0,65,19,216,30.857142857142858,45,15,16.333333333333332,12.0
swarmyzz,7,17,254,36.285714285714285,49,22,237,33.857142857142854,46,13,14.941176470588236,13.941176470588236
TMB,23,56,757,32.91304347826087,62,14,899,39.08695652173913,63,17,13.517857142857142,16.053571428571427
dott1,10,26,380,38.0,89,13,401,40.1,81,26,14.615384615384617,15.423076923076923
castrz,6,16,190,31.666666666666668,65,16,272,45.333333333333336,91,30,11.875,17.0
short,11,24,385,35.0,48,19,337,30.63636363636364,51,12,16.041666666666668,14.041666666666666
PANDAZ-,4,8,127,31.75,43,17,132,33.0,49,20,15.875,16.5
skr,11,24,362,32.90909090909091,52,6,313,28.454545454545453,48,12,15.083333333333334,13.041666666666666
wenba,2,5,72,36.0,41,31,72,36.0,41,31,14.4,14.4
SHOGU,1,2,24,24.0,24,24,21,21.0,21,21,12.0,10.5
mav1k,139,341,4771,34.32374100719424,69,13,5468,39.33812949640288,71,15,13.991202346041057,16.035190615835777
ofvirkur,4,8,164,41.0,60,23,124,31.0,36,19,20.5,15.5
DOM-,5,11,121,24.2,39,17,144,28.8,44,16,11.0,13.090909090909092
Extinct,34,89,1252,36.8235294117647,67,18,1509,44.38235294117647,62,21,14.067415730337078,16.95505617977528
hfah,2,3,60,30.0,41,19,53,26.5,36,17,20.0,17.666666666666668
agt,3,6,42,14.0,19,10,89,29.666666666666668,31,28,7.0,14.833333333333334
slashzz,12,28,414,34.5,52,13,426,35.5,56,20,14.785714285714286,15.214285714285714
5tumble,2,4,59,29.5,33,26,66,33.0,33,33,14.75,16.5
kiR,27,66,1005,37.22222222222222,69,20,1086,40.22222222222222,62,22,15.227272727272728,16.454545454545453
szejn',48,118,1763,36.72916666666666,62,13,1749,36.4375,64,22,14.940677966101696,14.822033898305085
mithputtini,9,20,294,32.666666666666664,44,19,270,30.0,45,16,14.7,13.5
baccseven,6,8,135,22.5,44,5,113,18.83333333333333,27,10,16.875,14.125
phr,33,79,1135,34.39393939393939,64,9,1208,36.60606060606061,52,25,14.367088607594935,15.291139240506327
insan1tyy,6,8,123,20.5,36,5,116,19.33333333333333,34,12,15.375,14.5
lub9,5,10,136,27.2,37,18,155,31.0,37,28,13.6,15.5
t3ns1on,48,115,1590,33.125,59,15,1443,30.0625,61,10,13.826086956521738,12.547826086956524
quixD,6,13,175,29.166666666666668,44,21,231,38.5,61,30,13.461538461538462,17.76923076923077
ykis,5,10,165,33.0,48,19,160,32.0,42,18,16.5,16.0
Klameczka,3,6,50,16.666666666666668,24,8,94,31.33333333333333,43,15,8.333333333333334,15.666666666666666
FpSSS,30,78,1161,38.7,62,20,1138,37.93333333333333,52,20,14.884615384615383,14.58974358974359
devoduvek力,40,93,1128,28.2,43,2,1451,36.275,66,1,12.129032258064516,15.602150537634408
bondik,48,115,1567,32.645833333333336,61,14,1508,31.416666666666668,60,13,13.62608695652174,13.11304347826087
suma,27,66,885,32.77777777777778,65,14,1025,37.96296296296296,61,22,13.409090909090908,15.530303030303031
beastik,29,71,862,29.724137931034484,59,9,1067,36.793103448275865,56,21,12.140845070422536,15.028169014084508
⑳ tutehen,7,18,251,35.857142857142854,48,22,289,41.285714285714285,57,31,13.944444444444445,16.055555555555557
RavlE,3,6,105,35.0,40,31,90,30.0,49,14,17.5,15.0
StebbiC0C0,3,7,110,36.66666666666666,42,32,90,30.0,32,27,15.714285714285714,12.857142857142858
doobs,1,2,24,24.0,24,24,33,33.0,33,33,12.0,16.5
guH,2,6,68,34.0,41,27,88,44.0,50,38,11.333333333333334,14.666666666666666
dziugss,47,114,1570,33.40425531914894,53,18,1575,33.51063829787234,59,14,13.771929824561404,13.81578947368421
teleD,6,12,194,32.333333333333336,45,26,188,31.33333333333333,43,17,16.166666666666668,15.666666666666666
Buzz,8,21,342,42.75,68,30,310,38.75,47,23,16.285714285714285,14.761904761904765
arvid,18,42,626,34.77777777777778,63,20,633,35.166666666666664,54,24,14.904761904761903,15.071428571428571
★ ⑲ iogazeraXD,1,2,14,14.0,14,14,30,30.0,30,30,7.0,15.0
bevve,2,4,44,22.0,23,21,57,28.5,32,25,11.0,14.25
pavv+,10,26,423,42.3,94,15,417,41.7,85,29,16.26923076923077,16.03846153846154
ksloks,11,27,448,40.72727272727273,66,7,404,36.72727272727273,58,10,16.59259259259259,14.962962962962964
Marix,49,117,1780,36.326530612244895,67,12,1781,36.3469387755102,66,18,15.213675213675211,15.22222222222222
ALLE,5,10,148,29.6,45,18,135,27.0,46,12,14.8,13.5
AceGeir,1,2,5,5.0,5,5,16,16.0,16,16,2.5,8.0
piriajr,10,22,372,37.2,69,7,331,33.1,52,8,16.90909090909091,15.045454545454543
ammar-iwnl-,2,4,82,41.0,42,40,58,29.0,30,28,20.5,14.5
Midgard,3,7,121,40.333333333333336,56,26,103,34.333333333333336,37,31,17.285714285714285,14.714285714285714
hugoxd,4,9,134,33.5,45,20,162,40.5,63,31,14.88888888888889,18.0
Beccie,34,81,1243,36.55882352941177,68,12,1256,36.94117647058823,66,24,15.34567901234568,15.506172839506172
oxygeN,5,13,206,41.2,56,24,188,37.6,48,24,15.846153846153848,14.461538461538462
chawzyyy,4,9,134,33.5,49,22,136,34.0,43,18,14.88888888888889,15.11111111111111
SPELLAN,5,13,149,29.8,41,24,188,37.6,50,26,11.461538461538462,14.461538461538462
Techno4K,5,13,168,33.6,46,23,192,38.4,54,28,12.923076923076923,14.76923076923077
Mzinho,5,13,190,38.0,51,31,193,38.6,61,26,14.615384615384617,14.846153846153848
Smash,49,117,1674,34.16326530612245,62,14,1626,33.18367346938776,65,13,14.307692307692308,13.897435897435898
ZEDKO,20,50,736,36.8,72,14,787,39.35,63,26,14.72,15.74
Sh4ker,1,2,11,11.0,11,11,13,13.0,13,13,5.5,6.5
tN1R,25,60,1024,40.96,73,26,832,33.28,51,16,17.066666666666666,13.866666666666667
refraction,6,14,131,21.83333333333333,33,13,217,36.16666666666666,54,19,9.357142857142858,15.5
gbb,5,10,134,26.8,49,10,137,27.4,49,15,13.4,13.7
F1KU,8,21,340,42.5,49,30,296,37.0,49,28,16.19047619047619,14.095238095238097
refrezh,15,34,553,36.86666666666667,58,15,469,31.266666666666666,50,18,16.264705882352942,13.794117647058824
japE,18,42,607,33.72222222222222,72,20,611,33.94444444444444,49,22,14.452380952380953,14.547619047619047
dera,1,3,10,10.0,10,10,16,16.0,16,16,3.333333333333333,5.333333333333333
Frontsiderr,4,8,132,33.0,40,29,142,35.5,42,31,16.5,17.75
Blytz,27,73,1233,45.66666666666666,63,26,1087,40.25925925925926,73,21,16.89041095890411,14.89041095890411
zhoki,3,6,54,18.0,26,12,90,30.0,32,27,9.0,15.0
Makazz3,47,114,1880,40.0,60,12,1701,36.191489361702125,58,10,16.49122807017544,14.921052631578949
WZRD,5,11,147,29.4,48,11,153,30.6,46,19,13.363636363636363,13.909090909090908
kr1vda,37,89,1271,34.351351351351354,55,13,1240,33.51351351351352,61,12,14.280898876404494,13.932584269662922
DK,139,329,4986,35.8705035971223,75,11,5275,37.94964028776978,68,11,15.155015197568389,16.033434650455927
masked,48,121,1555,32.395833333333336,59,17,1946,40.54166666666666,63,19,12.851239669421489,16.082644628099175
dezt,25,63,924,36.96,70,20,912,36.48,67,18,14.666666666666666,14.476190476190476
trindade-,5,7,98,19.6,30,9,96,19.2,30,13,14.0,13.714285714285714
bnc77,7,14,165,23.571428571428573,45,7,225,32.142857142857146,58,12,11.785714285714286,16.071428571428573
zed1x,120,281,4360,36.333333333333336,71,15,4343,36.19166666666667,64,14,15.516014234875446,15.455516014234876
stax,15,33,400,26.666666666666668,41,11,518,34.53333333333333,54,19,12.12121212121212,15.696969696969695
★ ⑳ toto-m,7,18,265,37.85714285714285,57,12,271,38.71428571428572,56,28,14.72222222222222,15.055555555555555
AZUWU,25,58,891,35.64,61,13,878,35.12,53,22,15.362068965517242,15.137931034482758
fanatyk ☾,4,8,140,35.0,47,23,143,35.75,41,32,17.5,17.875
gejmzilla,2,4,35,17.5,19,16,58,29.0,30,28,8.75,14.5
TeeZZ,154,374,5523,35.86363636363637,67,16,6011,39.032467532467535,73,12,14.767379679144383,16.072192513368982
antonini-,3,3,62,20.666666666666668,33,9,63,21.0,30,16,20.666666666666668,21.0
Krabeni,47,114,1822,38.765957446808514,66,12,1688,35.91489361702128,52,11,15.982456140350877,14.807017543859647
ANSG1,27,66,984,36.44444444444444,71,16,983,36.407407407407405,60,20,14.909090909090908,14.893939393939394
NertZ,4,11,182,45.5,63,28,173,43.25,62,23,16.545454545454547,15.727272727272728
Melavi,9,23,363,40.333333333333336,56,25,337,37.44444444444444,47,28,15.782608695652174,14.652173913043478
MoriiSko,29,71,1023,35.27586206896552,64,14,1113,38.37931034482759,58,16,14.408450704225352,15.67605633802817
MaLLby,1,2,30,30.0,30,30,17,17.0,17,17,15.0,8.5
hoax,11,24,325,29.545454545454547,45,8,357,32.45454545454545,55,10,13.541666666666666,14.875
